index,timestamp,deviceId,battery,ppgSignal,heartRate,spO2,redAdc,irAdc,spO2Status,perfusionIndex,PPG
86027,1678518733693,4,4047.65625,23531,89,98.6,558185,229006,0,3.7,
86028,1678518733693,4,4047.65625,22924,89,98.6,558342,229170,0,3.7,
86029,1678518733708,4,4047.65625,22316,89,98.6,558436,229247,0,3.7,
86030,1678518733723,4,4047.65625,21740,89,98.6,558469,229193,0,3.7,
86031,1678518733723,4,4047.65625,21163,89,98.6,558442,229316,0,3.7,
86032,1678518733738,4,4047.65625,20618,89,98.6,558477,229346,0,3.7,
86033,1678518733753,4,4047.65625,20106,89,98.6,558540,229252,0,3.7,
86034,1678518733753,4,4047.65625,19659,89,98.6,557942,228889,0,3.7,
86035,1678518733768,4,4047.65625,19279,89,98.6,557091,228267,0,3.7,
86036,1678518733783,4,4047.65625,18998,89,98.2,556081,227546,0,3.7,
86037,1678518733784,4,4047.65625,18850,89,98.2,555015,226826,0,3.7,
86038,1678518733798,4,4047.65625,18869,89,98.2,554059,226080,0,3.7,
86039,1678518733813,4,4047.65625,19122,89,98.2,553161,225476,0,3.7,
86040,1678518733814,4,4047.65625,19676,89,98.2,552286,224927,0,3.7,
86041,1678518733828,4,4047.65625,20566,89,98.2,551651,224469,0,3.7,
86042,1678518733843,4,4047.65625,21860,89,98.2,551209,224235,0,3.7,
86043,1678518733843,4,4047.65625,23593,89,98.2,551043,224100,0,3.7,
86044,1678518733858,4,4047.65625,25699,89,98.2,550930,224038,0,3.7,
86045,1678518733873,4,4047.65625,28115,89,98.2,551001,223992,0,3.7,
86046,1678518733873,4,4047.65625,30775,89,98.2,550955,224040,0,3.7,
86047,1678518733903,4,4047.65625,33647,89,98.2,550952,224100,0,3.7,
86048,1678518733903,4,4047.65625,36563,89,98.2,550988,224115,0,3.7,
86049,1678518733904,4,4047.65625,39455,89,98.2,551084,224152,0,3.7,
86050,1678518733918,4,4047.65625,42184,89,98.2,551139,224227,0,3.7,
86051,1678518733933,4,4047.65625,44715,89,98.2,551136,224216,0,3.7,
86052,1678518733933,4,4047.65625,46908,89,98.2,551157,224309,0,3.7,
86053,1678518733948,4,4047.65625,48729,89,98.2,551252,224304,0,3.7,
86054,1678518733963,4,4047.65625,50142,89,98.2,551318,224429,0,3.7,
86055,1678518733964,4,4047.65625,51180,89,98.2,551475,224591,0,3.7,
86056,1678518733978,4,4047.65625,51775,89,98.2,551745,224722,0,3.7,
86057,1678518733993,4,4047.65625,52027,89,98.2,551993,224883,0,3.7,
86058,1678518734008,4,4047.65625,51904,89,98.2,552077,224989,0,3.7,
86059,1678518734009,4,4047.65625,51506,89,98.2,552432,225173,8,3.7,
86060,1678518734023,4,4047.65625,50835,89,98.2,552502,225259,0,3.7,
86061,1678518734038,4,4047.65625,49958,89,98.2,552721,225334,0,3.7,
86062,1678518734038,4,4047.65625,48908,89,98.2,552738,225381,0,3.7,
