index,timestamp,deviceId,battery,ppgSignal,heartRate,spO2,redAdc,irAdc,spO2Status,perfusionIndex,PPG
86027,1678518733693,4,4047.65625,23531,89,98.6,558185,229006,0,3.7,-0.5944826593595749
86028,1678518733693,4,4047.65625,22924,89,98.6,558342,229170,0,3.7,-0.6364522778826271
86029,1678518733708,4,4047.65625,22316,89,98.6,558436,229247,0,3.7,-0.6776894367518776
86030,1678518733723,4,4047.65625,21740,89,98.6,558469,229193,0,3.7,-0.7180152452317999
86031,1678518733723,4,4047.65625,21163,89,98.6,558442,229316,0,3.7,-0.7573230877571253
86032,1678518733738,4,4047.65625,20618,89,98.6,558477,229346,0,3.7,-0.7950774523860703
86033,1678518733753,4,4047.65625,20106,89,98.6,558540,229252,0,3.7,-0.830148966061747
86034,1678518733753,4,4047.65625,19659,89,98.6,557942,228889,0,3.7,-0.8612152653984139
86035,1678518733768,4,4047.65625,19279,89,98.6,557091,228267,0,3.7,-0.887146378697981
86036,1678518733783,4,4047.65625,18998,89,98.2,556081,227546,0,3.7,-0.9066027384236303
86037,1678518733784,4,4047.65625,18850,89,98.2,555015,226826,0,3.7,-0.9172266022971621
86038,1678518733798,4,4047.65625,18869,89,98.2,554059,226080,0,3.7,-0.9156317187290322
86039,1678518733813,4,4047.65625,19122,89,98.2,553161,225476,0,3.7,-0.8981595745876765
86040,1678518733814,4,4047.65625,19676,89,98.2,552286,224927,0,3.7,-0.860993809194856
86041,1678518733828,4,4047.65625,20566,89,98.2,551651,224469,0,3.7,-0.7997084067218533
86042,1678518733843,4,4047.65625,21860,89,98.2,551209,224235,0,3.7,-0.7103530726381071
86043,1678518733843,4,4047.65625,23593,89,98.2,551043,224100,0,3.7,-0.5920619666942077
86044,1678518733858,4,4047.65625,25699,89,98.2,550930,224038,0,3.7,-0.4477716884551482
86045,1678518733873,4,4047.65625,28115,89,98.2,551001,223992,0,3.7,-0.2818630406694045
86046,1678518733873,4,4047.65625,30775,89,98.2,550955,224040,0,3.7,-0.09845681749100386
86047,1678518733903,4,4047.65625,33647,89,98.2,550952,224100,0,3.7,0.09731002080504776
86048,1678518733903,4,4047.65625,36563,89,98.2,550988,224115,0,3.7,0.2981387475092192
86049,1678518733904,4,4047.65625,39455,89,98.2,551084,224152,0,3.7,0.49611142206817677
86050,1678518733918,4,4047.65625,42184,89,98.2,551139,224227,0,3.7,0.6844070329302117
86051,1678518733933,4,4047.65625,44715,89,98.2,551136,224216,0,3.7,0.8568998526675566
86052,1678518733933,4,4047.65625,46908,89,98.2,551157,224309,0,3.7,1.007752402167425
86053,1678518733948,4,4047.65625,48729,89,98.2,551252,224304,0,3.7,1.1327481964007604
86054,1678518733963,4,4047.65625,50142,89,98.2,551318,224429,0,3.7,1.2302136508968342
86055,1678518733964,4,4047.65625,51180,89,98.2,551475,224591,0,3.7,1.2999545890449287
86056,1678518733978,4,4047.65625,51775,89,98.2,551745,224722,0,3.7,1.3422235673184182
86057,1678518733993,4,4047.65625,52027,89,98.2,551993,224883,0,3.7,1.3582363732712275
86058,1678518734008,4,4047.65625,51904,89,98.2,552077,224989,0,3.7,1.350611203907522
86059,1678518734009,4,4047.65625,51506,89,98.2,552432,225173,8,3.7,1.3224764025937152
86060,1678518734023,4,4047.65625,50835,89,98.2,552502,225259,0,3.7,1.276659393710647
86061,1678518734038,4,4047.65625,49958,89,98.2,552721,225334,0,3.7,1.2160912368589392
86062,1678518734038,4,4047.65625,48908,89,98.2,552738,225381,0,3.7,1.1442612944236086
86063,1678518734053,4,4047.65625,47755,89,98.2,552597,225335,0,3.7,1.0646985487043332
86064,1678518734069,4,4047.65625,46532,89,98.2,552668,225385,0,3.7,0.9804391680616124
86065,1678518734069,4,4047.65625,45273,89,98.2,552807,225373,0,3.7,0.89440163525364
86066,1678518734083,4,4047.65625,44046,89,98.2,552668,225434,0,3.7,0.8097953807179615
86067,1678518734098,4,4047.65625,42886,89,98.2,552776,225453,0,3.7,0.7295518332125644
86068,1678518734098,4,4047.65625,41793,89,98.2,552891,225502,0,3.7,0.6555154475234606
86069,1678518734113,4,4047.65625,40837,89,98.2,552962,225543,0,3.7,0.588701470489294
86070,1678518734128,4,4047.65625,39982,89,98.2,553026,225638,0,3.7,0.5302067707922008
86071,1678518734128,4,4047.65625,39263,89,98.2,553148,225711,0,3.7,0.4810537615777516
86072,1678518734143,4,4047.65625,38682,89,98.2,553269,225847,0,3.7,0.4408709487125937
86073,1678518734158,4,4047.65625,38204,89,98.2,553442,226004,0,3.7,0.4076617106427464
86074,1678518734158,4,4047.65625,37794,89,98.2,553864,226120,0,3.7,0.3796089512449323
86075,1678518734173,4,4047.65625,37452,89,98.2,553986,226371,0,3.7,0.35626612669274554
86076,1678518734188,4,4047.65625,37180,89,98.2,554346,226582,0,3.7,0.3369685154258294
86077,1678518734188,4,4047.65625,36907,89,98.2,554609,226639,0,3.7,0.31895285887361513
86078,1678518734203,4,4047.65625,36633,89,98.2,554747,226845,0,3.7,0.2985544540793459
86079,1678518734218,4,4047.65625,36252,89,98.2,554931,227007,0,3.7,0.2738350745743667
86080,1678518734219,4,4047.65625,35835,89,98.2,555253,227213,0,3.7,0.24461939592092155
86081,1678518734233,4,4047.65625,35346,89,98.2,555553,227514,0,3.7,0.21037129365373927
86082,1678518734248,4,4047.65625,34749,89,98.2,555832,227614,0,3.7,0.16962267490175467
86083,1678518734248,4,4047.65625,34044,89,98.2,556139,227822,0,3.7,0.12135705595221756
86084,1678518734263,4,4047.65625,33229,89,98.2,556489,228085,0,3.7,0.06560849039625821
86085,1678518734278,4,4047.65625,32340,89,98.2,556657,228300,0,3.7,0.0028057627714707777
86086,1678518734279,4,4047.65625,31304,89,98.2,557141,228495,0,3.7,-0.06644102663431516
86087,1678518734293,4,4047.65625,30230,89,98.2,557413,228751,0,3.7,-0.14117614367189896
86088,1678518734308,4,4047.65625,29080,89,98.2,557631,229006,0,3.7,-0.22057180456370215
86089,1678518734310,4,4047.65625,27854,89,98.2,558012,229116,0,3.7,-0.30424716215671394
86090,1678518734323,4,4047.65625,26589,89,98.2,558323,229389,0,3.7,-0.3915446416160541
86091,1678518734338,4,4047.65625,25285,89,98.2,558530,229645,0,3.7,-0.48098660680279254
86092,1678518734338,4,4047.65625,23978,89,98.2,558827,229786,0,3.7,-0.571045043660894
86093,1678518734353,4,4047.65625,22668,89,98.2,559021,229997,0,3.7,-0.6610643472392889
86094,1678518734368,4,4047.65625,21355,89,98.2,559384,230177,0,3.7,-0.750871565494528
86095,1678518734369,4,4047.65625,20077,89,98.2,559584,230315,0,3.7,-0.8397594433952235
86096,1678518734383,4,4047.65625,18797,89,98.2,559928,230554,0,3.7,-0.9265051643775232
86097,1678518734398,4,4047.65625,17588,89,98.2,559906,230656,0,3.7,-1.0103621144194967
86098,1678518734398,4,4047.65625,16414,89,98.2,559865,230433,0,3.7,-1.0912768055245832
86099,1678518734413,4,4047.65625,15276,89,98.2,559284,230108,0,3.7,-1.168667362932444
86100,1678518734428,4,4047.65625,14246,89,98.2,558605,229581,0,3.7,-1.240379990549527
86101,1678518734428,4,4047.65625,13324,89,98.2,557767,228852,0,3.7,-1.303258856105353
86102,1678518734443,4,4047.65625,12585,89,98.2,556636,228233,0,3.7,-1.3542513863530758
86103,1678518734458,4,4047.65625,12064,89,98.2,555692,227535,0,3.7,-1.3901264085696243
86104,1678518734458,4,4047.65625,11833,89,98.2,555060,226978,0,3.7,-1.4062655079900286
86105,1678518734473,4,4047.65625,11967,89,98.2,554300,226515,0,3.7,-1.396945993971318
86106,1678518734488,4,4047.65625,12538,89,98.2,553713,226217,0,3.7,-1.3576435961690279
86107,1678518734489,4,4047.65625,13582,89,98.2,553585,225981,0,3.7,-1.2867242359142899
86108,1678518734503,4,4047.65625,15064,89,98.2,553457,225915,0,3.7,-1.1846550169094912
86109,1678518734518,4,4047.65625,16984,89,98.2,553298,225815,0,3.7,-1.0527044311343619
86110,1678518734519,4,4047.65625,19309,89,98.2,553438,225851,0,3.7,-0.8937050936283318
86111,1678518734533,4,4047.65625,21929,89,98.2,553493,225930,0,3.7,-0.7136080367591563
86112,1678518734563,4,4047.65625,24737,89,98.2,553554,225947,0,3.7,-0.5207690971930419
86113,1678518734563,4,4047.65625,27625,89,98.2,553686,226000,0,3.7,-0.3233767644617636
86114,1678518734564,4,4047.65625,30449,89,98.2,553648,226047,0,3.7,-0.12833974003062182
86115,1678518734578,4,4047.65625,33172,89,98.2,553452,226071,0,3.7,0.05762059193986256
86116,1678518734593,4,4047.65625,35648,89,98.2,553721,226117,0,3.7,0.22749451159063452
86117,1678518734593,4,4047.65625,37798,89,98.2,553823,226161,0,3.7,0.3754276309470141
86118,1678518734608,4,4047.65625,39584,89,98.2,553812,226228,0,3.7,0.4978231874012661
86119,1678518734623,4,4047.65625,40967,89,98.2,553941,226325,0,3.7,0.5927273954473466
86120,1678518734624,4,4047.65625,41944,89,98.2,554131,226410,0,3.7,0.6593263309080034
86121,1678518734638,4,4047.65625,42515,89,98.2,554130,226583,0,3.7,0.6985425130927106
86122,1678518734653,4,4047.65625,42714,89,98.2,554349,226646,0,3.7,0.7128901985854805
86123,1678518734653,4,4047.65625,42615,89,98.2,554383,226710,0,3.7,0.7050449740585888
86124,1678518734668,4,4047.65625,42217,89,98.2,554492,226827,8,3.7,0.6773944714980795
86125,1678518734684,4,4047.65625,41557,89,98.2,554670,226904,0,3.7,0.6331579455365046
86126,1678518734684,4,4047.65625,40746,89,98.2,554598,226952,0,3.7,0.5767281092719216
86127,1678518734698,4,4047.65625,39820,89,98.2,554752,227039,0,3.7,0.5125117480691498
86128,1678518734713,4,4047.65625,38816,89,98.2,554723,227011,0,3.7,0.44420537696425266
86129,1678518734713,4,4047.65625,37810,89,98.2,554732,227051,0,3.7,0.3750452829042715
